# Summary generated on 2023-06-16 11:37:12.885093 UTC
#  Unique trajectory;      Beginning      ;        Beginning          ;   IAU;  IAU;   Sol lon ;   App LST ;   RAgeo  ;   +/-  ;   DECgeo ;   +/-  ;  LAMgeo  ;   +/-  ;   BETgeo ;   +/-  ;    Vgeo  ;    +/- ;  LAMhel  ;   +/-  ;   BEThel ;   +/-  ;    Vhel  ;    +/- ;       a    ;   +/-  ;      e    ;   +/-  ;      i    ;   +/-  ;    peri   ;    +/-  ;    node   ;    +/-  ;     Pi    ;   +/-  ;      b    ;   +/-  ;      q    ;   +/-  ;      f    ;   +/-  ;      M    ;   +/-  ;       Q    ;   +/-  ;      n    ;   +/-  ;      T    ;   +/-  ; TisserandJ;   +/-  ;   RAapp  ;   +/-  ;   DECapp ;   +/-  ;  Azim +E ;   +/-  ;    Elev  ;   +/-  ;   Vinit  ;    +/- ;    Vavg  ;    +/- ;    LatBeg   ;   +/-  ;    LonBeg   ;   +/-  ;   HtBeg ;   +/-  ;    LatEnd   ;   +/-  ;    LonEnd   ;   +/-  ;   HtEnd ;   +/-  ; Duration;  Peak ;  Peak Ht;   F  ;  Mass kg;   Qc ; MedianFitErr; Beg in; End in;  Num;      Participating    
#      identifier   ;     Julian date     ;         UTC Time          ;    No; code;     deg   ;     deg   ;    deg   ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    deg   ;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;      AU    ;  sigma ;           ;  sigma ;    deg    ;  sigma ;     deg   ;   sigma ;     deg   ;   sigma ;    deg    ;  sigma ;    deg    ;  sigma ;     AU    ;  sigma ;    deg    ;  sigma ;     deg   ;  sigma ;      AU    ;  sigma ;   deg/day ;  sigma ;    years  ;  sigma ;           ;  sigma ;    deg   ;  sigma ;    deg   ;  sigma ; of N  deg;  sigma ;     deg  ;  sigma ;    km/s  ;   sigma;    km/s  ;   sigma;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;    +N deg   ;  sigma ;    +E deg   ;  sigma ;     km  ;  sigma ;   sec   ; AbsMag;     km  ; param; tau=0.7%;  deg ;    arcsec   ;   FOV ;   FOV ; stat;         stations      
# ------------------; --------------------; --------------------------; -----; ----; ----------; ----------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; --------; ----------; --------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; ----------; -------; -----------; -------; ----------; -------; ----------; -------; ----------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ---------; -------; ------------; -------; ------------; -------; --------; -------; ------------; -------; ------------; -------; --------; -------; --------; ------; --------; -----; --------; -----; ------------; ------; ------; ----; ----------------------
20190901000115_p13My; 2458727.500873848330; 2019-09-01 00:01:15.500496;    -1;  ...; 158.023000;  19.250287;  68.78726;  1.8715; +68.63837;  0.6509;  79.06197;  1.1020; +46.00462;  0.5250;  54.11445;  2.6568; 110.62550;  1.3138; +75.56247;  1.1176;  40.20089;  2.6661;    6.269131;  3.5821;   0.843987;  0.2664; 100.730759;  0.9396; 158.751788;   0.7618; 158.024330;   0.0000; 316.776118;  0.7618;  20.859129;    None;   0.978063;  0.0019;  21.246069;  0.7619;   0.984805;     nan;   11.560199;  7.1645;   0.062790;  0.2297;  15.696819;     nan;   0.610923;  1.4579;  68.97066;  1.8748; +68.33273;  0.6610;  30.61706;  0.8104;  56.42253;  0.8067;  55.33280;  2.6113;  55.06635;  1.6956;    45.855678;  0.0025;    39.065764;  0.0012; 104.7561;    0.25;    45.799665;  0.0039;    39.018372;  0.0016;  93.7038;    0.37;     0.24;  +0.26;  97.3416; 0.671; 1.09e-05; 50.10;        46.83;   True;   True;    2; RU0002,RU0003
20190901000200_0fewl; 2458727.501395951025; 2019-09-01 00:02:00.610169;    -1;  ...; 158.023505;  19.692762;  21.20419;  0.4133; +35.27544;  1.1197;  33.33492;  0.7340; +24.35638;  0.9576;  58.98858;  0.1233;   3.35425;  0.7797; +35.35371;  1.4914;  42.04672;  0.1599;  -86.075241; 2.3e+02;   1.005371;  0.0068; 121.092276;  0.9197; 274.653275;   3.0994; 158.023946;   0.0000;  72.677221;  3.0994; -58.595967;    None;   0.462302;  0.0266; 265.344233;  3.0995;        nan;     nan; -172.612784; 4.6e+02;   0.001234;  0.0035;        nan;     nan;  -0.496387;  0.0758;  21.84981;  0.4135; +35.46976;  1.1087; 171.21508;  1.7214;  78.42144;  1.0976;  60.03326;  0.1212;  56.92352;  0.0925;    46.935210;  0.0011;    39.320060;  0.0006; 100.9808;    0.05;    46.963980;  0.0023;    39.313517;  0.0009;  84.9744;    0.06;     0.28;  -1.98;  91.6102; 0.585; 1.43e-04; 36.86;        68.26;   True;   True;    2; RU0002,RU0003
20190901001244_p4gMZ; 2458727.508853734471; 2019-09-01 00:12:44.962658;    -1;  ...; 158.030721; 358.291843; 113.50948;  0.1848; +55.26812;  0.1580; 105.74276;  0.1524; +33.10789;  0.1405;  54.88366;  0.0263; 144.13675;  0.1462; +46.40571;  0.2280;  41.39514;  0.0354;   20.136421;  1.6083;   0.972648;  0.0018; 102.878433;  0.0874;  94.496745;   0.5197; 158.031422;   0.0000; 252.528167;  0.5197;  76.371613;    None;   0.550778;  0.0044;  85.500828;  0.5197;   0.434328;  0.0420;   39.722064;  3.2151;   0.010908;  0.0010;  90.359548; 11.3594;   0.054774;  0.0165; 112.77683;  0.1848; +55.49299;  0.1543;  34.91398;  0.0779;  25.73847;  0.1729;  56.16131;  0.0258;  55.74894;  0.0160;    46.355496;  0.0003;    15.227312;  0.0008; 112.3035;    0.08;    46.055677;  0.0002;    14.927053;  0.0005;  92.5778;    0.04;     0.82;  -2.17;  98.5905; 0.695; 3.60e-04; 72.08;        81.73;   True;   True;    5; HR000D,HR000K,HR000P,HR000S,SI0001
20190901001826_cbvcl; 2458727.512803663500; 2019-09-01 00:18:26.236526;    -1;  ...; 158.034543; 359.119639;  81.61926;  0.4710; +44.99451;  0.2026;  83.62906;  0.3538; +21.74198;  0.2093;  62.60808;  0.0528;  97.90768;  0.6580; +37.19744;  0.3585;  38.36384;  0.0473;    3.103705;  0.0407;   0.735539;  0.0039; 138.805012;  0.3284; 123.984639;   1.2762; 158.033185;   0.0000; 282.017824;  1.2762;  33.101402;    None;   0.820808;  0.0084;  56.011881;  1.2762;   6.681417;  0.1803;    5.386602;  0.0805;   0.180254;  0.0034;   5.467909;  0.1085;   0.889422;  0.0190;  81.46435;  0.4648; +45.03467;  0.1999;  57.70452;  0.2403;  34.04946;  0.3298;  63.82139;  0.0519;  61.26930;  0.0323;    44.078371;  0.0002;    14.603465;  0.0003; 106.6591;    0.03;    44.028412;  0.0002;    14.494081;  0.0002;  99.5531;    0.04;     0.24;  -0.65; 103.7707; 0.406; 2.11e-05; 84.71;        54.07;   True;   True;    3; HR000D,HR000N,HR0010
20190901001932_h01Jh; 2458727.513576369267; 2019-09-01 00:19:32.998305;    -1;  ...; 158.035290;   1.689777; 325.00634;  0.4074;  +0.98765;  0.9666; 327.62881;  0.5051; +14.11599;  0.9292;  17.68155;  0.5267; 275.95024;  0.5989;  +6.66689;  0.6176;  37.15783;  0.2822;    2.353680;  0.1750;   0.686916;  0.0186;   7.533986;  0.7554; 250.293898;   0.7280; 158.053915;   0.0012;  48.347813;  0.7277;  -7.090417;    None;   0.736899;  0.0062; 289.688650;  0.7277; 348.113283;  1.0364;    3.970460;  0.3531;   0.272950;  0.0217;   3.610952;  0.4332;   3.180146;  0.1238; 328.31567;  0.4204;  +4.91915;  0.7608; 225.93477;  0.8006;  40.29223;  0.6132;  20.69982;  0.4539;  20.70835;  0.2319;    45.247152;  0.0002;    16.921217;  0.0011;  87.3125;    0.12;    45.288812;  0.0002;    16.982175;  0.0013;  81.5964;    0.15;     0.44;  +1.12;  84.2822; 0.530; 7.62e-05; 87.25;       120.28;   True;   True;    3; HR000G,HR000P,HR000S
20190901002141_t9i06; 2458727.515058794525; 2019-09-01 00:21:41.079847;    -1;  ...; 158.036726; 359.664794; 308.09366;  1.9307; +55.26182;  0.2451; 346.46974;  2.8763; +68.80215;  0.5682;  12.47401;  0.2381; 257.62543;  0.4088; +21.67763;  0.4302;  31.48924;  0.1105;    1.158066;  0.0109;   0.200074;  0.0017;  21.955347;  0.4551; 239.581407;   3.1975; 158.043731;   0.0001;  37.625138;  3.1974; -18.809251;    None;   0.926366;  0.0073; 300.412413;  3.1974; 318.687134;  2.4934;    1.389765;  0.0148;   0.790869;  0.0108;   1.246236;  0.0178;   5.351262;  0.0346; 317.36420;  1.5153; +56.04425;  0.1071; 307.87334;  0.2252;  61.56090;  0.8462;  16.57473;  0.1749;  15.74884;  0.1287;    45.127541;  0.0003;    14.370059;  0.0008;  91.4198;    0.14;    45.094029;  0.0003;    14.430708;  0.0008;  80.0887;    0.10;     0.93;  +1.06;  84.8666; 0.578; 3.07e-04; 14.54;        79.01;   True;   True;    2; HR0007,HR000N
20190901002226_n6Uk6; 2458727.515588475857; 2019-09-01 00:22:26.844314;    -1;  ...; 158.037237; 359.598899;  27.07382;  0.4593; +33.79355;  0.3034;  37.52222;  0.4927; +21.09194;  0.1656;  58.37328;  0.8659;   9.84055;  0.1449; +32.46159;  0.5206;  39.14074;  0.9304;    3.931997;  6.8538;   0.884645;  0.0391; 129.640798;  0.5570; 279.968703;   2.0450; 158.036602;   0.0000;  78.005306;  2.0450; -49.326263;    None;   0.453577;  0.0060; 260.028309;  2.0450; 354.646992;     nan;    7.410418; 13.7087;   0.126411;  0.0382;   7.796873;     nan;   0.806447;  0.4586;  27.49371;  0.4553; +33.92805;  0.3017; 107.10334;  1.1442;  66.03646;  0.1667;  59.54985;  0.8513;  57.83889;  0.4022;    44.722723;  0.0011;    14.102687;  0.0002;  96.4924;    0.16;    44.740587;  0.0003;    14.021065;  0.0003;  81.0901;    0.03;     0.30;  -2.00;  88.1019; 0.545; 1.23e-04; 89.75;        95.63;   True;   True;    6; HR0007,HR000D,HR000K,HR000N,HR0010,SI0001
20190901002506_xAsOu; 2458727.517439563293; 2019-09-01 00:25:06.778269;   337;  NUE; 158.039028;   2.755747;  60.00786;  0.1220;  -3.20593;  0.0796;  57.08842;  0.1280; -23.28230;  0.0858;  63.26289;  0.1009;  45.45934;  0.2410; -39.97529;  0.1676;  38.91896;  0.0855;    3.651756;  0.0982;   0.751530;  0.0068; 137.760890;  0.1635;  40.163720;   0.4556; 338.042891;   0.0000;  18.206611;  0.4556;  25.694228;    None;   0.907353;  0.0021; 319.839667;  0.4556; 355.957781;  0.1892;    6.396160;  0.1963;   0.141238;  0.0058;   6.978359;  0.2804;   0.606899;  0.0419;  60.03371;  0.1204;  -2.67570;  0.0778; 116.29725;  0.1057;  20.38070;  0.1045;  64.50889;  0.0994;  63.40946;  0.0808;    45.076448;  0.0004;    16.591467;  0.0007; 112.8410;    0.07;    45.222952;  0.0002;    16.169704;  0.0003;  99.0082;    0.04;     0.63;  -0.82; 104.9623; 0.570; 4.92e-05; 88.97;        89.06;   True;   True;    7; HR0007,HR000G,HR000K,HR000N,HR000P,HR000S,SI0001
20190901002914_JpB2K; 2458727.520302389283; 2019-09-01 00:29:14.126434;    26;  NDA; 158.041798;   1.581259;   0.44091;  0.3692;  +7.91339;  0.2670;   3.56775;  0.2747;  +7.08174;  0.3615;  38.13061;  0.0692; 317.12405;  0.1481;  +7.24380;  0.3522;  37.29487;  0.1835;    2.419148;  0.1007;   0.952181;  0.0007;  19.589932;  0.8020; 324.607542;   0.7186; 158.049570;   0.0003; 122.657112;  0.7188; -11.197346;    None;   0.115681;  0.0034; 215.385612;  0.7188; 350.879741;  0.4971;    4.722615;  0.1982;   0.261945;  0.0144;   3.762654;  0.2415;   2.543786;  0.0765;   1.19179;  0.3641;  +8.79094;  0.2601; 180.64542;  0.6086;  53.39122;  0.2539;  39.71137;  0.0664;  39.07908;  0.0620;    45.396682;  0.0004;    14.383538;  0.0008;  96.2604;    0.06;    45.496448;  0.0004;    14.385112;  0.0008;  81.1514;    0.06;     0.48;  -1.31;  86.3818; 0.654; 2.51e-04; 81.26;        87.25;   True;   True;    5; HR000D,HR000K,HR000P,HR000S,SI0001
20190901003325_PlnD2; 2458727.523208311293; 2019-09-01 00:33:25.198096;    -1;  ...; 158.044610;   4.687850;  73.57385;  0.4109; +60.71540;  0.2600;  79.91098;  0.2720; +37.85170;  0.2472;  57.62541;  0.2279;  98.82674;  0.8889; +63.70131;  0.3609;  39.44435;  0.1636;    4.396879;  0.2825;   0.783853;  0.0136; 113.005146;  0.4641; 150.084185;   0.7033; 158.045063;   0.0000; 308.129249;  0.7033;  27.326669;    None;   0.950372;  0.0026;  29.913384;  0.7033;   2.344266;  0.2705;    7.843386;  0.5643;   0.106902;  0.0103;   9.219714;  0.8912;   0.737513;  0.0796;  73.44192;  0.4005; +60.54882;  0.2575;  42.78331;  0.4010;  47.57039;  0.1764;  58.83780;  0.2238;  58.09214;  0.0128;    44.579768;  0.0006;    16.440966;  0.0001; 107.2257;    0.05;    44.517136;  0.0004;    16.359988;  0.0001;  96.7054;    0.03;     0.25;  -1.12; 101.0895; 0.583; 4.71e-05; 89.33;        60.50;   True;   True;    6; HR0007,HR000G,HR000K,HR000N,HR000P,SI0001
